threat_id,asset_id,control_id,test_id
T-01,A-02,M-01,P-01
T-01,A-03,M-02,P-02
T-01,A-02,M-07,P-04
T-02,A-08,M-04,P-13
T-02,A-05,M-05,P-10
T-02,A-08,M-06,P-14
T-03,A-01,M-09,P-08
T-03,A-06,M-10,P-15
T-03,A-01,M-07,P-04
T-04,A-05,M-08,P-07
T-04,A-05,M-12,P-11
T-04,A-05,M-07,P-04
T-05,A-08,M-13,P-12
T-05,A-08,M-08,P-07
T-06,A-07,M-11,P-09
T-06,A-07,M-07,P-04
T-07,A-04,M-07,P-05
T-07,A-04,M-12,P-11
T-08,A-08,M-14,P-13
T-08,A-08,M-03,P-06
T-09,A-03,M-15,P-11
T-09,A-05,M-05,P-10
T-09,A-02,M-07,P-04
T-10,A-01,M-16,P-16
T-10,A-02,M-02,P-03
T-10,A-06,M-07,P-04
T-11,A-06,M-10,P-15
T-11,A-05,M-08,P-07
T-12,A-08,M-06,P-14
T-12,A-02,M-07,P-05
T-13,A-05,M-03,P-06
T-13,A-08,M-07,P-04
T-14,A-05,M-12,P-11
T-14,A-02,M-01,P-01
T-14,A-05,M-03,P-06
T-15,A-08,M-17,P-17
T-15,A-05,M-05,P-10
T-16,A-01,M-18,P-18
T-16,A-06,M-07,P-05
T-17,A-03,M-20,P-20
T-17,A-02,M-02,P-03
T-18,A-04,M-19,P-19
T-18,A-05,M-07,P-05
